it,base_code,SP,TCT,ST,DG,KV,KH
Z_CF_2,CF,11.5794,8.87472007239373,8.87472007239373,8.87472007239373,21.47423206051763,21.47423206051763
Z_CF_3,CF,0.0,0.0,21.47423206051763,21.47423206051763,21.47423206051763,21.47423206051763
Z_CG_0,CG,0.0,0.0,7.812459866384772,0.0,20.508540964145855,20.508540964145855
Z_CG_1,CG,0.0,0.0,7.812459866384772,0.0,20.508540964145855,20.508540964145855
Z_CG_2,CG,0.0,0.0,0.0,0.0,20.508540964145855,20.508540964145855
Z_CG_3,CG,0.0,0.0,7.812459866384772,20.508540964145855,20.508540964145855,20.508540964145855
Z_CH_0,CH,23.1588,22.642718287127483,22.642718287127483,22.642718287127483,33.84789813858967,33.84789813858967
Z_CH_1,CH,0.0,0.0,22.642718287127483,22.642718287127483,33.84789813858967,33.84789813858967
Z_CH_2,CH,23.1588,22.642718287127483,22.642718287127483,22.642718287127483,33.84789813858967,33.84789813858967
Z_CH_3,CH,0.0,0.0,22.642718287127483,10.160054921664559,33.84789813858967,33.84789813858967
Z_CI_0,CI,0.0,0.0,8.318298059722373,8.318298059722373,20.96839386718004,20.96839386718004
Z_CI_1,CI,0.0,0.0,20.96839386718004,20.96839386718004,20.96839386718004,20.96839386718004
Z_CI_2,CI,0.0,0.0,8.318298059722373,8.318298059722373,20.96839386718004,20.96839386718004
Z_CI_3,CI,0.0,0.0,20.96839386718004,8.318298059722373,20.96839386718004,20.96839386718004
Z_CJ_0,CJ,34.7382,33.84789813858967,33.84789813858967,33.84789813858967,33.84789813858967,33.84789813858967
Z_CJ_1,CJ,0.0,0.0,10.160054921664559,10.160054921664559,33.84789813858967,33.84789813858967
Z_CJ_2,CJ,34.7382,33.84789813858967,33.84789813858967,33.84789813858967,33.84789813858967,33.84789813858967
Z_CJ_3,CJ,0.0,0.0,22.642718287127483,10.160054921664559,33.84789813858967,33.84789813858967
Z_CK_0,CK,23.1588,20.09049287047842,20.09049287047842,20.09049287047842,20.09049287047842,20.09049287047842
Z_CK_1,CK,0.0,0.0,0.0,7.352606963350597,20.09049287047842,20.09049287047842
Z_CK_2,CK,23.1588,20.09049287047842,20.09049287047842,20.09049287047842,20.09049287047842,20.09049287047842
Z_CK_3,CK,0.0,0.0,0.0,0.0,20.09049287047842,20.09049287047842
Z_CL_0,CL,11.5794,5.609402662654561,5.609402662654561,5.609402662654561,5.609402662654561,5.609402662654561
Z_CL_1,CL,0.0,0.0,0.0,5.609402662654561,5.609402662654561,5.609402662654561
Z_CL_2,CL,11.5794,5.609402662654561,5.609402662654561,5.609402662654561,5.609402662654561,5.609402662654561
Z_CL_3,CL,0.0,0.0,0.0,0.0,5.609402662654561,5.609402662654561
Z_CM_0,CM,11.5794,34.459962352528166,10.900652620530144,23.315988922459823,34.459962352528166,34.459962352528166
Z_CM_1,CM,11.5794,34.459962352528166,23.315988922459823,34.459962352528166,34.459962352528166,34.459962352528166
Z_CN_0,CN,0.0,0.0,0.0,6.209020855880172,6.209020855880172,6.209020855880172
Z_CN_1,CN,0.0,0.0,0.0,0.0,6.209020855880172,6.209020855880172
